SORRB, 1, 50, 797, 99, -1.000000
SORRB, 1, 100, 6860, 210, -1.000000
SORRB, 1, 150, 24790, 325, -1.000000
SORRB, 1, 200, 57756, 447, -1.000000
SORRB, 1, 250, 115326, 576, -1.000000
SORRB, 1, 300, 203617, 705, -1.000000
SORRB, 1, 350, 336749, 846, -1.000000
SORRB, 1, 400, 504185, 984, -1.000000
SORRB, 1, 450, 722377, 1115, -1.000000
SORRB, 1, 500, 1015463, 1258, -1.000000
SORRB, 2, 50, 561, 99, -1.000000
SORRB, 2, 100, 3827, 210, -1.000000
SORRB, 2, 150, 12943, 325, -1.000000
SORRB, 2, 200, 29622, 447, -1.000000
SORRB, 2, 250, 59405, 576, -1.000000
SORRB, 2, 300, 103687, 705, -1.000000
SORRB, 2, 350, 176080, 846, -1.000000
SORRB, 2, 400, 254659, 984, -1.000000
SORRB, 2, 450, 364594, 1115, -1.000000
SORRB, 2, 500, 512064, 1258, -1.000000
SORRB, 4, 50, 974, 99, -1.000000
SORRB, 4, 100, 3313, 210, -1.000000
SORRB, 4, 150, 8328, 325, -1.000000
SORRB, 4, 200, 17329, 447, -1.000000
SORRB, 4, 250, 31297, 576, -1.000000
SORRB, 4, 300, 52901, 705, -1.000000
SORRB, 4, 350, 86003, 846, -1.000000
SORRB, 4, 400, 126685, 984, -1.000000
SORRB, 4, 450, 175752, 1115, -1.000000
SORRB, 4, 500, 248326, 1258, -1.000000
SORRB, 8, 50, 1511, 99, -1.000000
SORRB, 8, 100, 4174, 210, -1.000000
SORRB, 8, 150, 9340, 325, -1.000000
SORRB, 8, 200, 18526, 447, -1.000000
SORRB, 8, 250, 34494, 576, -1.000000
SORRB, 8, 300, 36732, 705, -1.000000
SORRB, 8, 350, 54385, 846, -1.000000
SORRB, 8, 400, 77378, 984, -1.000000
SORRB, 8, 450, 107501, 1115, -1.000000
SORRB, 8, 500, 146849, 1258, -1.000000
SORRB, 16, 50, 2590, 99, -1.000000
SORRB, 16, 100, 6362, 210, -1.000000
SORRB, 16, 150, 11503, 325, -1.000000
SORRB, 16, 200, 18690, 447, -1.000000
SORRB, 16, 250, 29647, 576, -1.000000
SORRB, 16, 300, 45180, 705, -1.000000
SORRB, 16, 350, 66605, 846, -1.000000
SORRB, 16, 400, 93125, 984, -1.000000
SORRB, 16, 450, 121221, 1115, -1.000000
SORRB, 16, 500, 163881, 1258, -1.000000
SORRB, 32, 50, 4572, 99, -1.000000
SORRB, 32, 100, 10403, 210, -1.000000
SORRB, 32, 150, 16572, 325, -1.000000
SORRB, 32, 200, 25595, 447, -1.000000
SORRB, 32, 250, 34917, 576, -1.000000
SORRB, 32, 300, 47238, 705, -1.000000
SORRB, 32, 350, 66572, 846, -1.000000
SORRB, 32, 400, 85577, 984, -1.000000
SORRB, 32, 450, 106277, 1115, -1.000000
SORRB, 32, 500, 126642, 1258, -1.000000
