SORRB, 1, 50, 611, 32, -1.000000
SORRB, 1, 100, 2247, 60, -1.000000
SORRB, 1, 150, 7409, 89, -1.000000
SORRB, 1, 200, 16712, 116, -1.000000
SORRB, 1, 250, 32143, 143, -1.000000
SORRB, 1, 300, 55079, 168, -1.000000
SORRB, 1, 350, 89019, 193, -1.000000
SORRB, 1, 400, 127081, 219, -1.000000
SORRB, 1, 450, 178011, 243, -1.000000
SORRB, 1, 500, 242134, 267, -1.000000
SORRB, 1, 550, 330253, 292, -1.000000
SORRB, 1, 600, 409969, 316, -1.000000
SORRB, 1, 650, 515190, 339, -1.000000
SORRB, 1, 700, 636723, 363, -1.000000
SORRB, 1, 750, 808096, 386, -1.000000
SORRB, 1, 800, 939586, 409, -1.000000
SORRB, 1, 850, 1122886, 432, -1.000000
SORRB, 1, 900, 1300686, 452, -1.000000
SORRB, 1, 950, 1601099, 478, -1.000000
SORRB, 1, 1000, 1797191, 501, -1.000000
SORRB, 2, 50, 233, 32, -1.000000
SORRB, 2, 100, 1304, 60, -1.000000
SORRB, 2, 150, 4159, 89, -1.000000
SORRB, 2, 200, 9021, 116, -1.000000
SORRB, 2, 250, 17146, 143, -1.000000
SORRB, 2, 300, 28668, 168, -1.000000
SORRB, 2, 350, 46077, 193, -1.000000
SORRB, 2, 400, 65687, 219, -1.000000
SORRB, 2, 450, 91327, 243, -1.000000
SORRB, 2, 500, 123911, 267, -1.000000
SORRB, 2, 550, 169170, 292, -1.000000
SORRB, 2, 600, 210013, 316, -1.000000
SORRB, 2, 650, 263660, 339, -1.000000
SORRB, 2, 700, 327351, 363, -1.000000
SORRB, 2, 750, 399959, 386, -1.000000
SORRB, 2, 800, 481100, 409, -1.000000
SORRB, 2, 850, 574772, 432, -1.000000
SORRB, 2, 900, 669511, 452, -1.000000
SORRB, 2, 950, 819183, 478, -1.000000
SORRB, 2, 1000, 919905, 501, -1.000000
SORRB, 4, 50, 340, 32, -1.000000
SORRB, 4, 100, 1092, 60, -1.000000
SORRB, 4, 150, 2773, 89, -1.000000
SORRB, 4, 200, 5539, 116, -1.000000
SORRB, 4, 250, 9935, 143, -1.000000
SORRB, 4, 300, 15913, 168, -1.000000
SORRB, 4, 350, 25349, 193, -1.000000
SORRB, 4, 400, 35478, 219, -1.000000
SORRB, 4, 450, 48478, 243, -1.000000
SORRB, 4, 500, 65222, 267, -1.000000
SORRB, 4, 550, 86908, 292, -1.000000
SORRB, 4, 600, 109844, 316, -1.000000
SORRB, 4, 650, 136831, 339, -1.000000
SORRB, 4, 700, 169132, 363, -1.000000
SORRB, 4, 750, 208574, 386, -1.000000
SORRB, 4, 800, 246491, 409, -1.000000
SORRB, 4, 850, 295323, 432, -1.000000
SORRB, 4, 900, 341449, 452, -1.000000
SORRB, 4, 950, 418144, 478, -1.000000
SORRB, 4, 1000, 472758, 501, -1.000000
SORRB, 8, 50, 535, 32, -1.000000
SORRB, 8, 100, 1292, 60, -1.000000
SORRB, 8, 150, 3019, 89, -1.000000
SORRB, 8, 200, 5797, 116, -1.000000
SORRB, 8, 250, 10258, 143, -1.000000
SORRB, 8, 300, 16510, 168, -1.000000
SORRB, 8, 350, 23924, 193, -1.000000
SORRB, 8, 400, 34957, 219, -1.000000
SORRB, 8, 450, 48445, 243, -1.000000
SORRB, 8, 500, 56834, 267, -1.000000
SORRB, 8, 550, 48407, 292, -1.000000
SORRB, 8, 600, 106160, 316, -1.000000
SORRB, 8, 650, 135705, 339, -1.000000
SORRB, 8, 700, 168645, 363, -1.000000
SORRB, 8, 750, 209548, 386, -1.000000
SORRB, 8, 800, 245161, 409, -1.000000
SORRB, 8, 850, 287141, 432, -1.000000
SORRB, 8, 900, 336660, 452, -1.000000
SORRB, 8, 950, 403192, 478, -1.000000
SORRB, 8, 1000, 460746, 501, -1.000000
SORRB, 16, 50, 830, 32, -1.000000
SORRB, 16, 100, 1758, 60, -1.000000
SORRB, 16, 150, 3252, 89, -1.000000
SORRB, 16, 200, 5077, 116, -1.000000
SORRB, 16, 250, 8113, 143, -1.000000
SORRB, 16, 300, 11988, 168, -1.000000
SORRB, 16, 350, 16652, 193, -1.000000
SORRB, 16, 400, 22886, 219, -1.000000
SORRB, 16, 450, 30545, 243, -1.000000
SORRB, 16, 500, 39412, 267, -1.000000
SORRB, 16, 550, 51065, 292, -1.000000
SORRB, 16, 600, 63920, 316, -1.000000
SORRB, 16, 650, 77577, 339, -1.000000
SORRB, 16, 700, 95950, 363, -1.000000
SORRB, 16, 750, 117374, 386, -1.000000
SORRB, 16, 800, 135969, 409, -1.000000
SORRB, 16, 850, 160322, 432, -1.000000
SORRB, 16, 900, 184732, 452, -1.000000
SORRB, 16, 950, 222679, 478, -1.000000
SORRB, 16, 1000, 251770, 501, -1.000000
SORRB, 32, 50, 257390, 32, -1.000000
SORRB, 32, 100, 2934, 60, -1.000000
SORRB, 32, 150, 4308, 89, -1.000000
