SORRB, 1, 50, 1488, 99, -1.000000
SORRB, 1, 100, 6433, 210, -1.000000
SORRB, 1, 150, 24762, 325, -1.000000
SORRB, 1, 200, 57785, 447, -1.000000
SORRB, 1, 250, 116284, 576, -1.000000
SORRB, 1, 300, 201641, 705, -1.000000
SORRB, 1, 350, 347427, 846, -1.000000
SORRB, 1, 400, 504161, 984, -1.000000
SORRB, 1, 450, 722621, 1115, -1.000000
SORRB, 1, 500, 1016006, 1258, -1.000000
SORRB, 2, 50, 595, 99, -1.000000
SORRB, 2, 100, 3769, 210, -1.000000
SORRB, 2, 150, 13013, 325, -1.000000
SORRB, 2, 200, 29556, 447, -1.000000
SORRB, 2, 250, 58805, 576, -1.000000
SORRB, 2, 300, 103654, 705, -1.000000
SORRB, 2, 350, 176202, 846, -1.000000
SORRB, 2, 400, 260569, 984, -1.000000
SORRB, 2, 450, 362894, 1115, -1.000000
SORRB, 2, 500, 511864, 1258, -1.000000
SORRB, 4, 50, 996, 99, -1.000000
SORRB, 4, 100, 3155, 210, -1.000000
SORRB, 4, 150, 8488, 325, -1.000000
SORRB, 4, 200, 17343, 447, -1.000000
SORRB, 4, 250, 31408, 576, -1.000000
SORRB, 4, 300, 55864, 705, -1.000000
SORRB, 4, 350, 92074, 846, -1.000000
SORRB, 4, 400, 132984, 984, -1.000000
SORRB, 4, 450, 175060, 1115, -1.000000
SORRB, 4, 500, 260563, 1258, -1.000000
SORRB, 8, 50, 1538, 99, -1.000000
SORRB, 8, 100, 3980, 210, -1.000000
SORRB, 8, 150, 9320, 325, -1.000000
SORRB, 8, 200, 18493, 447, -1.000000
SORRB, 8, 250, 33128, 576, -1.000000
SORRB, 8, 300, 58096, 705, -1.000000
SORRB, 8, 350, 89292, 846, -1.000000
SORRB, 8, 400, 125753, 984, -1.000000
SORRB, 8, 450, 179013, 1115, -1.000000
SORRB, 8, 500, 256497, 1258, -1.000000
SORRB, 16, 50, 2580, 99, -1.000000
SORRB, 16, 100, 6515, 210, -1.000000
SORRB, 16, 150, 11835, 325, -1.000000
SORRB, 16, 200, 18029, 447, -1.000000
SORRB, 16, 250, 30064, 576, -1.000000
SORRB, 16, 300, 45634, 705, -1.000000
SORRB, 16, 350, 65752, 846, -1.000000
SORRB, 16, 400, 91414, 984, -1.000000
SORRB, 16, 450, 123240, 1115, -1.000000
SORRB, 16, 500, 162412, 1258, -1.000000
SORRB, 32, 50, 411568, 99, -1.000000
SORRB, 32, 100, 10193, 210, -1.000000
SORRB, 32, 150, 16762, 325, -1.000000
SORRB, 32, 200, 23833, 447, -1.000000
SORRB, 32, 250, 34811, 576, -1.000000
SORRB, 32, 300, 46253, 705, -1.000000
SORRB, 32, 350, 67864, 846, -1.000000
SORRB, 32, 400, 84994, 984, -1.000000
SORRB, 32, 450, 107914, 1115, -1.000000
SORRB, 32, 500, 135091, 1258, -1.000000
